TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,3610,81,83,28,36.47,30,25,7.5,30
2.02E+13,3610,80,83,28,36.19,30,25,7.8,28
2.02E+13,3619,81,83,28,36.19,30,25,6.6,28
2.02E+13,3619,81,83,28,36.12,30,25,6.5,28
2.02E+13,3618,81,83,28,36.61,30,25,6.1,31
2.02E+13,3610,81,83,28,36.61,30,26,7.4,31
2.02E+13,3610,81,83,28,38.15,30,26,7.5,29
2.02E+13,3606,81,83,28,38.71,30,26,6.8,30
2.02E+13,3601,80,83,27,38.71,30,26,7.3,31
2.02E+13,3601,80,83,27,38.85,30,26,6.4,31
2.02E+13,3600,80,83,27,38.15,30,26,6.5,30
2.02E+13,3594,80,83,28,36.75,30,25,6.6,29
2.02E+13,3594,80,83,27,36.75,30,25,7.6,31
2.02E+13,3594,80,83,27,36.12,30,25,7.9,28
2.02E+13,3601,80,83,28,36.75,30,25,6.3,31
2.02E+13,3601,80,83,28,36.75,30,25,6.2,30
2.02E+13,3597,80,83,28,36.26,30,25,7.4,29
2.02E+13,3597,80,83,28,36.4,30,25,7.5,30
2.02E+13,3597,80,83,28,36.4,30,25,6.2,28
2.02E+13,3601,80,83,28,36.75,30,25,6.1,31
2.02E+13,3601,80,83,28,36.75,30,25,6.2,31
2.02E+13,3601,80,83,28,36.68,30,25,6.9,30
2.02E+13,3597,80,83,28,36.12,30,25,8,29
2.02E+13,3599,80,83,28,36.12,30,25,7,28
2.02E+13,3599,80,83,28,36.12,30,25,7.2,30
2.02E+13,3595,80,83,28,37.24,30,25,7.3,30
2.02E+13,3595,80,83,27,37.24,30,26,7.4,30
2.02E+13,3589,80,83,27,38.01,30,26,6.1,29
2.02E+13,3591,80,83,27,38.29,30,26,6.4,29
2.02E+13,3591,80,83,27,38.29,30,26,7.3,30
2.02E+13,3591,80,83,27,37.59,30,25,6.8,31
2.02E+13,3589,80,83,27,36.54,30,25,6.8,28
2.02E+13,3589,80,83,27,36.54,30,25,7.3,29
2.02E+13,3594,80,83,27,36.61,30,25,6.2,29
2.02E+13,3591,80,83,27,36.54,30,25,7.4,28
2.02E+13,3591,80,83,27,36.54,30,25,6.6,29
2.02E+13,3594,80,83,27,35.56,30,25,6.1,28
